"Title","Average","Male","Female","Gap"
"BUSINESS PROMOTION COORDINATOR",68724.2677165354,68549.4290403817,68877.7606489496,-0.00238913135974129
"CALL CENTER REPRESENTATIVE",36520.2558823529,36889.3343558177,36397.1407101138,0.0067160229122914
"CAMPUS PEACE OFFICER",41470.2253521127,41564.542183352,41196.9980285327,0.00444100186968853
"CAMPUS PUBLIC SAFETY SERGEANT",55582.4259259259,55533.748850516,55720.931728173,-0.00168247193451429
"CAMPUS SECURITY ASSISTANT",32747.5517241379,32909.9241448963,32413.1733501947,0.00760451989801886
"CAPT DET CHIEF OF DEPARTMENT",230676,230686.997732426,225826,0.010648103682856
"CAPT DET CHIEF OF THE HOUSING BUREAU",234093,234093,234093,0
"CAPT DET CHIEF OF THE TRANSIT BUREAU",229273,229273.856856024,229021.33784029,0.000550996429061735
"CAPTAIN",116299.502812148,121655.081082924,102131.472553203,0.0872420983857073
"CAPTAIN-CHIEF OF COMMUNITY AFFAIRS",229273,224453,229273.355483443,-0.0106239265698081
"CAPTAIN-CHIEF OF INTELLIGENCE",234093,234093,234093,6.21629661218697e-17
"CAPTAIN-CHIEF OF STAFF",234093,234093,234093,0
"CAPTAIN CHIEF OF COUNTERTERRORISM",234093,234093,234093,0
"CAPTAIN D/A DEPUTY CHIEF INSPECTOR",190495.913580247,190614.307228476,189237.350347595,0.00362498584228192
"CAPTAIN D/A DEPUTY INSPECTOR",171948.877777778,171996.86414595,171475.307442616,0.00151848314500174
"CAPTAIN D/A INSPECTOR",181009.630769231,181000.363082717,181162.199270435,-0.000446860621555608
"CAPTAIN DETAILED AS ASSISTANT CHIEF INSPECTOR",232265.225806452,232086.105252801,233480.529901065,-0.00299511292900745
"CAPTAIN DETAILED AS CHIEF OF CRIME CONTROL STRATEGIES",234093,234093,234093,-6.21629661218697e-17
"CAPTAIN DETAILED AS CHIEF OF DETECTIVES",229273,229281.240907464,224453,0.0106411208856706
"CAPTAIN DETAILED AS CHIEF OF PATROL",234093,234093,234093,0
"CAPTAIN DETAILED AS CHIEF OF PERSONNEL",229273,234076.853837912,224487.75650436,0.020911115069246
"CAPTAIN DETAILED AS CHIEF OF SPECIAL OPERATIONS",234093,234093,234093,0
"CAPTAIN DETAILED AS CHIEF OF STRATEGIC INITIATIVES",229273,229271.726151819,229649.5493165,-0.000823285353888857
"CAPTAIN DETAILED AS CHIEF OF TRAINING",229273,224463.593594609,234062.541367681,-0.0209343525726438
"CAPTAIN: CHIEF OF TRANSPORTATION BUREAU",234093,234093,234093,6.21629661218697e-17
"CARETAKER",39932.2383120826,40337.6490430436,39433.7537274703,0.01133106958359
"CASE - MANAGEMENT NURSE",80634.4,80847.0895753315,80630.6863020674,0.00134014276632343
"CASE MANAGEMENT NURSE",83693.7391304348,83799.9755284795,83683.0004212149,0.000698429835040471
"CASE MGMT NURSE",85619,85619,85619,0
"CASEWORKER",46155.9036237471,46284.9915683662,46106.9445742211,0.0019270836999268
"CASHIER",40534.5757575758,40150.9797344921,40656.1806069462,-0.00625193201096831
"CERTIFIED APPLICATIONS DEVELOPER",114288.333333333,110443,116211,-0.0254484809445234
"CERTIFIED DATABASE ADMINISTRATOR",138723,138723,NA,NA
"CERTIFIED IT ADMINISTRATOR",107846.261780105,108200.557952197,105760.851124295,0.0114025554347938
"CERTIFIED IT DEVELOPER",110436.373831776,112042.767135714,106115.577712724,0.0271692078847961
"CERTIFIED LOCAL AREA NETWORK ADMINISTRATOR",98608.1333333333,98496.2254876823,100601.348699772,-0.0105733242641499
"CERTIFIED WIDE AREA NETWORK ADMINISTRATOR",120731,123871.910374706,111491.288995422,0.0526021969977316
"CHAIR",237937,237940.11691658,236883.461221398,0.00222536483829509
"CHAIR-LANDMARKS PRESERVATION COMMISSION",214429.5,216815,214427.7100123,0.0055358384785963
"CHAIRMAN",226130,236088,226118.317745235,0.021569766297007
"CHANCELLOR",293666,338819.723921054,235003.085028787,0.180921074019806
"CHAPLAIN",60413.5882352941,59577.9166317735,66541.3322372315,-0.0552129486014513
"CHAUFFEUR-ATTENDANT",56365.4285714286,56359.6579959409,57359.8072648581,-0.00879488191949803
"CHAUFFEUR ATTENDANT",67964.5,67961.6247182358,68585.0443544183,-0.00456561584706873
"CHEMICAL ENGINEER",76582,76582,76582,0
"CHEMICAL ENGINEERING INTERN",52167.1428571429,52000,52388.9637833553,-0.00372610062652384
"CHIEF ACTUARY",302801,NA,302801,NA
"CHIEF ADMINISTRATIVE LAW JUDGE",221151,221151,NA,NA
"CHIEF ADMINISTRATIVE SUPT CAMPUS B/G",132117.5,132100.928024522,140080.664447132,-0.029317693199406
"CHIEF ADMINISTRATOR OF IMPARTIAL HEARINGS",148631,148631,148631,0
"CHIEF ADMINISTRATOR SUPT CAMPUS B/G",140902,140902,140902,0
"CHIEF CARETAKER",49203,49203,49203,0
"CHIEF CITY MEDICAL EXAMINER",236088,236088,236088,0
"CHIEF CLERK",139074.428571429,141888.805970418,136962.559081538,0.0176662104127124
"CHIEF COLLEGE LAB TECHNICIAN",81682.5,82145.212233153,80768.5553859478,0.00845021797312998
"CHIEF FIRE MARSHAL",223897,223897.584365058,223719.959739754,0.000396822304316753
"CHIEF INFORMATION TECHNOLOGY OFFICER",187731,187731,187731,0
"CHIEF INVESTIGATING ACCOUNTANT",165000,165000,165000,0
"CHIEF MARINE ENGINEER",72979.9677419355,73271.3132994892,68951.0056213679,0.0303771427079985
"CHIEF OF DEPARTMENT",235526,235526,235526,-1.23569501697196e-16
"CHIEF OF HOUSING COMMUNITY ACTIVITIES",90533.3333333333,NA,90533.3333333333,NA
"CHIEF OF STAFF",192836.5,203268.10427595,172150.272630237,0.0828884081332256
"CHIEF OF STAFF - MAYOR'S OFFICE",236750,NA,236750,NA
"CHIEF REVIEW ASSESSOR",139701,139701,139701,0
"CHIEF SCHOOL BUSINESS EXECUTIVE",210284.5,211931.557062618,208598.448590453,0.00792597062601627
"CHIEF SERVICE OFFICER",175000,175000,175000,0
"CHIEF STRATEGY OFFICER",153375,153375,153375,0
"CHIEF, PUBLICATIONS & REPORTS",119121,119121,119121,0
"CHILD AND FAMILY SPECIALIST",83243.2943925234,82589.7489409856,83389.8414149728,-0.00482042685050252
"CHILD PROTECTIVE SPECIALIST",55114.4342166434,54888.0236345176,55163.8005831478,-0.0025058825747837
"CHILD PROTECTIVE SPECIALIST SUPERVISOR",79787.3852140078,80168.9497991547,79686.751971334,0.00301645685752914
"CHILD WELFARE SPECIALIST",57996.4631578947,57299.8783964306,58286.5197365082,-0.00853596405818303
"CHILD WELFARE SPECIALIST SUPERVISOR",76597.2297297297,72798.9267479653,77846.8318140919,-0.0335084446738481
"CITY ASSESSOR",78938.1081081081,78321.4052655799,80391.3883739373,-0.013042320413431
"CITY ATTENDANT",36027.0392156863,35809.2671229066,36727.5257829186,-0.0126592122869854
"CITY CLERK & CLERK OF COUNCIL",231278,231278,231278,0
"CITY COLLECTOR",136110,136110,136110,0
"CITY CUSTODIAL ASSISTANT",35906.9616908851,35868.7920811579,35951.8575629095,-0.00115656823160651
"CITY DEBRIS REMOVER",41731.5,41732.0858508707,41485.1614264574,0.00296722653647006
"CITY DEPUTY MEDICAL DIRECTOR",173825,NA,173825,NA
"CITY ELEVATOR OPERATOR",36606.6,36366.2054056831,37563.4560833344,-0.016194456372956
"CITY MEDICAL DIRECTOR",199829.666666667,206705.336533652,188505.932250392,0.0460498111282465
"CITY MEDICAL EXAMINER",198391.060606061,208526.919592643,193348.815600424,0.0377681523492026
"CITY MEDICAL SPECIALIST",170019.25,167453.235615705,171557.287530365,-0.0121059720405534
"CITY MORTUARY TECHNICIAN",42953.2222222222,42746.203561012,43707.8199235302,-0.0111228641971779
"CITY PARK WORKER",41826.67120954,41579.2735896318,42482.757275661,-0.0107478213020691
"CITY PARKING EQUIPMENT SERVICE WORKER",40977.5445544554,41122.3176413018,40409.9544463006,0.00873719297600104
"CITY PEST CONTROL AIDE",34371.7,34495.9776872174,34039.5451677624,0.00665979481065296
"CITY PLANNER",80607.5483955224,82652.614543902,78343.5760257708,0.026764847682942
"CITY PLANNING TECHNICIAN",40063.6,39213.0330964266,43425.2450735482,-0.0509716812886359
"CITY REGISTER",172558,NA,172558,NA
"CITY RESEARCH SCIENTIST",88687.9225275938,89122.5364121638,88477.153336187,0.00363392006422552
"CITY SEASONAL AIDE",31286,31286,31286,0
"CITY SECURITY AIDE",37365.5614035088,37428.8868676337,37266.3604551605,0.00217586015574467
"CITY TAX AUDITOR",66485.3712374582,66703.4498441208,66222.3034973656,0.00361966236534402
"CIVIL ENGINEER",96126.2109375,96708.7073288693,92399.3677909329,0.022787707691522
"CIVIL ENGINEERING INTERN",55832.4588235294,55920.7627717426,55601.3439233015,0.00286417516586744
"CLAIM SPECIALIST",52205.63125,52874.1479317409,51853.5422995024,0.00974532742949779
"CLERICAL AIDE",35795.25,35417.3184279933,36013.4847379102,-0.00834606757160755
"CLERICAL ASSOCIATE",44178.1710417827,43321.1609734183,44380.2352585956,-0.0120759113386918
"CLERK TO THE BOARD",37018.0752688172,36432.3716768975,37355.509373755,-0.0125106953027126
"CLIMBER & PRUNER",65982.4385964912,66050.0551125581,64636.1792826965,0.0108188581330262
"CLINICAL PROFESSOR",94248,NA,94248,NA
"CLIP INSTRUCTOR",51199.5789473684,50503.7927693016,51830.8759647268,-0.0129680704676371
"COLLEGE ACCOUNTANT",54268.5833333333,53644.15843011,54493.0155018254,-0.00784981742032261
"COLLEGE ACCOUNTING ASSISTANT",44706.2,46050.5430698972,44550.4627079028,0.0165569945842913
"COLLEGE AIDE",31937.5,NA,31937.5,NA
"COLLEGE GRAPH DESIGNER",57527.3333333333,54425.0049446389,63693.9162908187,-0.0784710125120695
"COLLEGE LAB TECHNICIAN",56811.4303797468,56270.3463796732,57756.5584172491,-0.0130338716132195
"COLLEGE PRINT SHOP ASSISTANT",33311.5833333333,34234.885331762,31513.3982262313,0.0413925194431918
"COLLEGE PRINT SHOP ASSOCIATE",41337.25,41136.9901882805,41931.5575308979,-0.00956520084236366
"COLLEGE PRINT SHOP COORDINATOR",59450,59450,59450,0
"COLLEGE SECURITY DIRECTOR",129946,134106.720492809,105521.500783676,0.119289871438605
"COLLEGE SECURITY SPECIALIST",60710.0833333333,60898.554796179,59258.7165795332,0.0136474322183819
"COMMISS OF THE OFF TO END DOMEST AND GEND BA VIOL",221151,NA,221151,NA
"COMMISSARY MANAGER",35800.8333333333,36879.8567198497,34726.4364563332,0.0300730587773632
"COMMISSIONER",215178.307692308,212323.356924287,216960.43854306,-0.0108019023027055
"COMMISSIONER OF BUILDINGS",236088,236088,236088,0
"COMMISSIONER OF BUSINESS SERVICES",221151,221151,221151,6.58008113387091e-17
"COMMISSIONER OF CHILDREN'S SERVICES",236088,236088,236088,0
"COMMISSIONER OF CITYWIDE ADMINISTRATIVE SERVICES",236088,NA,236088,NA
"COMMISSIONER OF CULTURAL AFFAIRS",221151,221151,221151,0
"COMMISSIONER OF DEPARTMENT OF VETERAN'S SERVICES",221151,NA,221151,NA
"COMMISSIONER OF DEPT OF INFO TECHNOLOGY & TELECOMMUNICATIONS",231459,231459,NA,NA
"COMMISSIONER OF EMERGENCY MANAGEMENT",236088,236088,236088,0
"COMMISSIONER OF ENVIRONMENTAL PROTECTION",236088,236088,236088,6.16376742077821e-17
"COMMISSIONER OF FINANCE",236088,236088,NA,NA
"COMMISSIONER OF HOUSING PRESERVATION & DEVELOPMENT",236088,236088,236088,6.16376742077821e-17
"COMMISSIONER OF LABOR RELATIONS",236088,236088,236088,-6.16376742077821e-17
"COMMISSIONER OF PARKS & RECREATION",236088,236088,236088,0
"COMMISSIONER OF SANITATION",236088,NA,236088,NA
"COMMISSIONER OF TRANSPORTATION",236088,NA,236088,NA
"COMMISSIONER, UN & CONSULAR CORPS DIPLOMATIC RELATIONS",221151,NA,221151,NA
"COMMUNICATION ASSISTANT",75925.6363636364,78906.9384453649,70731.1766452896,0.0546368937828587
"COMMUNICATIONS DIRECTOR",195032,195032,195032,0
"COMMUNITY ASSISTANT",36982.9083743842,36960.7150906202,37003.1519783112,-0.000573751608355528
"COMMUNITY ASSOCIATE",47130.8249159409,47114.2319048394,47138.1607724413,-0.00025388074426771
"COMMUNITY COORDINATOR",65809.9395870348,66459.2619481362,65419.1799796146,0.00788667164487242
"COMMUNITY PLANNING BOARD COORDINATOR",53915.625,53425.2738745937,54209.3853638746,-0.0072849349347933
"COMMUNITY SERVICE AIDE",30703.1463414634,29659.6177110949,31452.029197771,-0.0293301126272883
"COMMUNITY SUPERTINDENT",184686.962962963,187081.009337046,183744.45196282,0.00899764908949643
"COMPTROLLER",209050,209050,209050,0
"COMPUTER AIDE-NON-SPVR",51822.3837209302,51643.3193730265,52126.3502156129,-0.00465483647101537
"COMPUTER ASSOCIATE",73877.9189189189,74319.5739424053,72937.0174916798,0.00938875765941087
"COMPUTER OPERATIONS MANAGER",127662.023809524,129479.245702548,114582.210590976,0.0610380489316405
"COMPUTER OPERATOR",48087,48815.2323598804,46641.4321352758,0.0227726396695429
"COMPUTER OPERATOR MANAGER",103846,103824.129417242,118201,-0.0647533485083154
"COMPUTER PROGRAMMER ANALYST",62829.3965517241,63270.9432162757,62295.674336136,0.0077669439469659
"COMPUTER SERVICE TECHNICIAN",52024.8163265306,51935.1095026425,52422.8294519727,-0.00467352991268217
"COMPUTER SPECIALIST",102938.314632297,103466.676489644,101776.692939723,0.00823404699805776
"COMPUTER SYSTEM MANAGER",134814,134803.399499562,138703.004059391,-0.0142578181318105
"COMPUTER SYSTEMS MANAGER",132137.681006885,134115.94953076,126494.961136803,0.0292427833295075
"CONFIDENTIAL AGENCY INVESTIGATOR",118800.846153846,118385.128680422,120177.648118532,-0.00751382701929332
"CONFIDENTIAL ASSISTANT TO BORO PRESIDENT",148000,148000,148000,0
"CONFIDENTIAL ASSISTANT TO THE COMMISSIONER",135000,135000,135000,0
"CONFIDENTIAL ASSISTANT TO THE COMPTROLLER",135507,135507,135507,0
"CONFIDENTIAL ASST TO THE EXECUTIVE DEPUTY COMMISSIONER",114725,114725,114725,0
"CONFIDENTIAL ASST TO THE EXECUTIVE DIR",84000,NA,84000,NA
"CONFIDENTIAL INVESTIGATOR",66103.4285714286,67747.3676084101,63923.5029150503,0.02904108310485
"CONFIDENTIAL SECRETARY",95317,NA,95317,NA
"CONFIDENTIAL SECRETARY OF ADMINISTRATIVE LAW JUDGE",57327.6666666667,50062,57329.6976575166,-0.0676746696070872
"CONFIDENTIAL SECRETARY TO THE DEPUTY COMMISSIONER",62853.6666666667,57083.4193652068,66092.2746612694,-0.0731382548096396
"CONFIDENTIAL STRATEGY PLANNER",85374.8518518519,89615.4636924871,82164.8310513917,0.0433730344461464
"CONGREG CARE SPEC- DJJ",53968.2666666667,52192.1185034597,54874.3409877603,-0.0250519396741668
"CONGREG CARE SPEC - ACS",45676.6052631579,45641.0122753362,45698.2372255516,-0.000626509967272097
"CONSTRUCTION PROJECT MANAGER",80599.0988510638,80994.2964123392,77821.8286158484,0.0199757285094809
"CONSTRUCTION PROJECT MANAGER INTERN",58199.7142857143,58523.0391493236,56282.4327531462,0.0195165470691221
"CONSULTANT",73503.2375,70807.9645599407,73662.4326668932,-0.0197581522702586
"CONSULTANT PUBLIC HEALTH NURSE",81798,81798,81798,8.89503119169592e-17
"CONSUMER ADVOCATE",94581,94581,94581,0
"CONTRACT REVIEWER",60498.0141935484,60545.8870822298,60462.3924605655,0.00068999098226775
"CONTRACT SPECIALIST",62259.686746988,62474.8578420764,62061.1150083966,0.00332227567834197
"COOK",38079.7,37987.1191313255,38230.1073930952,-0.00318810159920747
"COORDINATING MANAGER",68910.1666666667,75519.4430945242,67457.3105377266,0.0563877158487886
"COORDINATOR, ELECTION DAY OPERATIONS",112803,112803,112803,6.45014548742802e-17
"COORDINATOR, TENANT PATROL",93733,NA,93733,NA
"COORDINATOR, VOTER REGISTRATION ACTIVITIES",98152,98152,98152,0
"CORPORATION COUNSEL",236088,236088,236088,0
"CORRECTION ADMINISTRATIVE AIDE",40182.5,39735,40183.2861891581,-0.00560930683744968
"CORRECTION OFFICER",68113.0721198157,67016.2202295968,69846.3664607057,-0.0206787428145945
"CORRECTIONAL STANDARDS REVIEW SPECIALIST",69175.1794871795,69590.7934161978,68693.8083072556,0.00648651475119435
"COUNCIL MEMBER",148500,148500,148500,0
"COUNSEL",188886.833333333,182368.550880095,199118.483265447,-0.0439069506591975
"COUNSEL TO THE BOARD",58957.5,58958.2627300713,58624.4874459948,0.00283864158285699
"COUNSEL TO THE BOROUGH PRESIDENT",127684.5,NA,127684.5,NA
"COUNSEL TO THE CHANCELLOR",209477,209477,209477,0
"COUNSEL TO THE POLICE COMMISSIONER",224426.5,229146,224393.81661632,0.0104779849741391
"COUNSEL TO THE PUBLIC ADVOCATE",112042.4875,112061.092134036,103738.804326927,0.0385648368863552
"COUNSELOR",70504.9166666667,80406.2527117598,70495.5042007096,0.0656768265249485
"COUNTY DETECTIVE",62870.7142857143,62121.0992672958,67321.7136630869,-0.0401769266138249
"CRIME ANALYST",58373.75,59391.9531027065,57792.2715480458,0.0136509974736641
"CRIMINALIST",72316.0966981132,71917.9203071535,72488.3831122991,-0.0039504009979997
"CRIMINALIST ASSISTANT DIRECTOR OF LABORATORY",133260,134292.864202745,132315.078655795,0.00741832942313942
"CRIMINALIST DEPUTY DIRECTOR OF LABATORY",180804.5,198894.540085639,162766.233495449,0.0998955629952767
"CRIMINALIST DIRECTOR OF LABORATORY",154378,164430.919730175,134378.809415356,0.100572730348356
"CSE CHAIRPERSON",150833.307692308,152814.415310311,149951.860722482,0.00945466788883556
"CUNY ADMINISTRATOR ASSISTANT",51810.4489795918,52900.8105297537,51759.659341408,0.0109033638942238
"CUNY BROADCAST ASSOCIATE",51991.5,52295.7604352203,50507.1578676557,0.017398363753595
"CUNY CUSTODIAL ASSISTANT",32875.1300813008,32808.6467314656,32991.1442823394,-0.00277352781919253
"CUNY OFFICE ASSISTANT",36965.9254143646,35374.1020434325,37241.6339518153,-0.0257180056469445
"CUNY START INSTRUCTOR",57913.6376811594,58345.4513105957,57709.4703240146,0.00548000013806723
"CUSTODIAL ASSISTANT",37468.5,37516.1145408682,36421.0405596954,0.0148108752586363
"CUSTODIAL SUPERVISOR",35627.0882352941,35675.3783651301,35510.1947099095,0.00232046534269625
"CUSTODIAN",41102.8153153153,40966.5669269755,41467.2085872907,-0.00607325889408656
"CUSTOMER INFORMATION REPRESENTATIVE MA L 1549",52207.3406326034,50966.7252833345,52699.8476362066,-0.0167182371719493
"DEAN",155261.894736842,155022.850244275,155724.049689069,-0.00225649699142483
"DECEDENT PROPERTY AGENT",47480.7857142857,46802.0302622144,48698.9031702288,-0.0198623494016028
"DECKHAND",53439.4675324675,53565.1262206333,51066.1359075986,0.0238837825541284
"DEP COMMISSIONER FOR COMMUNITY RELATIONS",162759,165164,161911.819354839,0.00994320109501292
"DEP DIR MTR EQ MNTC",153584.333333333,153586.942712371,152212.671996992,0.00449402369811852
"DEP DIR RESEARCH & POL DEVELP",109354.5,109354.749809964,109124.469026549,0.00105401687465695
"DEPUTY ASSISTANT CHIEF OF DEPARTMENT",227348.8,227349.183147159,227229.692877347,0.000262859266266063
"DEPUTY ASSISTANT COMMISSIONER",103103.24,108559.539493101,99530.2015503517,0.0433915573995747
"DEPUTY ASSISTANT COUNSEL",89952.625,84189.8528213128,96715.0112236608,-0.0692361616061035
"DEPUTY ASSISTANT DIRECTOR",114455.666666667,118486.638641492,108311.593056671,0.0448638664800666
"DEPUTY ASST COMMISSIONER FOR PROGRAM DEV & ANAL",198197,NA,198197,NA
"DEPUTY AUDITOR GENERAL",142787.5,125354.97970927,160255.422349266,-0.122195978817478
"DEPUTY BOROUGH COMMISSIONER",151041.666666667,151040.607238585,151046.911631937,-2.08694267645193e-05
"DEPUTY BOROUGH PRESIDENT",157799.6,155575.603408048,159281.552892786,-0.0117702564816318
"DEPUTY CHANCELLOR FINANCIAL AFFAIRS",197425,NA,197425,NA
"DEPUTY CHIEF",179540.686567164,179541.553740938,179247.612075123,0.000819260150028276
"DEPUTY CHIEF CITY MEDICAL EXAMINER",234402,234402,234402,0
"DEPUTY CHIEF CLERK",137874.4,139582.975071903,131132.211356719,0.0312164375655073
"DEPUTY CHIEF OF OPERATIONS",125040.333333333,125041.166667895,125031.833947205,3.73199852351062e-05
"DEPUTY CHIEF OF STAFF",214725,214725,214725,0
"DEPUTY CHIEF SURGEON",153723.5,153721.797752155,154285.34868434,-0.00182966836550908
"DEPUTY CITY CLERK",141564,107751.739500553,150071.747510788,-0.164143338920763
"DEPUTY CITY SHERIFF - NON-SPVR",67149.3389830509,68010.9190173422,62745.4727101729,0.040269131302904
"DEPUTY COMMISSIONER",203866.178082192,204778.631021726,202521.385930228,0.00554197151375089
"DEPUTY COMMISSIONER FOR ADMINISTATION",194915,NA,194915,NA
"DEPUTY COMMISSIONER FOR CITY PERSONNEL SERVICES",207556,207556,207556,0
"DEPUTY COMMISSIONER OF INVESTIGATIONS",114725,114725,114725,0
"DEPUTY COMMISSIONER OF IT",230000,230000,NA,NA
"DEPUTY COMMISSIONER OF LABOR RELATIONS",222049.5,231218.429644016,212920.419324201,0.0411988511302796
"DEPUTY COMMUNITY SUPERINTENDENT",169104,170274,169102.685353095,0.00345137040184899
"DEPUTY CONTROLLER",161681,161681,161681,0
"DEPUTY COUNSEL",150393,150393,150393,0
"DEPUTY DIRECTOR",156264.833333333,166607.613176805,140058.386724557,0.0865737527498558
"DEPUTY DIRECTOR- FINANCE",186606.25,184060.466642371,194190.851706346,-0.0267821540138965
"DEPUTY DIRECTOR-LEGAL DIVISION",194275,NA,194275,NA
"DEPUTY DIRECTOR-OFFICE OF COMMUNICATIONS",150000,150000,150000,0
"DEPUTY DIRECTOR OF ADMIN WORKER'S COMP BENEFITS",102517.5,121866.939924356,87689.3195555523,0.163095201515946
"DEPUTY DIRECTOR OF ADMINISTRATION",126231.909090909,103313.290642459,134956.871307992,-0.132805469247605
"DEPUTY DIRECTOR OF CONSTRUCTION",125154,125154,125154,-5.81360373154947e-17
"DEPUTY DIRECTOR OF EMERGENCY MANAGEMENT",142910,142910,142910,0
"DEPUTY DIRECTOR OF LABOR RELATIONS",111467.5,111474.428397264,108041,0.0156409434285901
"DEPUTY DIRECTOR OF MEDICOLEGAL INVESTIGATIONS",120238.5,119472.858849005,121408.205074482,-0.00803444734905258
"DEPUTY DIRECTOR OF MOTOR EQUIPMENT MAINTENANCE",150730,150727.913903028,151496.676825161,-0.0025436809105444
"DEPUTY DIRECTOR OF SECURITY",93773,93769.8675258439,94759.1991733165,-0.00524763456794337
"DEPUTY EXECUTIVE DIRECTOR",180345.916666667,187325.260843207,173360.898816451,0.0387161016655939
"DEPUTY EXECUTIVE DIRECTOR CAMPAIGN FINANCE BOARD",151228,151228,151228,0
"DEPUTY EXECUTIVE DIRECTOR OF FINANCIAL OPERATIONS",136761,136761,136761,0
"DEPUTY GENERAL COUNSEL",154120,160613.562243108,147625.171867193,0.0421374374424591
"DEPUTY INSPECTOR GENERAL",111898.210526316,114915.05875803,107206.545765688,0.0347040217401225
"DEPUTY MAYOR",244643,244643,244643,5.94822464912826e-17
"DEPUTY OPERATION SUPPORT MANAGER",139351.5,139379.419409186,114599,0.0975689960856965
"DEPUTY PUBLIC ADMINISTATOR",125844,124803.091298126,126536.744455645,-0.00689764578034163
"DEPUTY REGIONAL SUPERINTENDENT",209437,211417.772213448,208454.771461875,0.0070569052351837
"DEPUTY SUPERINTENDENT",82098.75,83447.9460646541,76717.1062916116,0.0420243971704303
"DEPUTY UNIT CHIEF",81657,NA,81657,NA
"DIETARY AIDE",37249.1428571429,37708.5120801618,36042.79159206,0.0225856412722525
"DIETITIAN",55766.7142857143,55039.8241857992,55772.5386324906,-0.00661220849421759
"DIR  OF AUDIT & PROG ANALYSIS",140000,NA,140000,NA
"DIR OF ADMINISTRATION, WORKER'S COMP BENEFITS",139651,139651,NA,NA
"DIR OF HOME CARE SERVICES/FAMILY AND ADULT SERVICES",162548,162548,NA,NA
"DIR OF MGNT SYSTEM, PLANNING, RESEARCH AND EVAL",164784,164784,164784,0
"DIR OF QUALITY & COST CONTROL",210527,210527,210527,0
"DIR POLICY ECONOM RESRCH",80204,80204,80204,0
"DIRECTOR",143060.675,151570.151062943,140221.59923169,0.0388926411380518
"DIRECTOR-OFFICE OF COMMUNICATIONS",189163,189163,189163,0
"DIRECTOR-OFFICE OF POLICY",148952.5,148966.855683604,134305,0.0517589565974402
"DIRECTOR BOROUGH PRESIDENT'S OFFICE OF ADMINISTRATION QUEENS",118000,118000,118000,0
"DIRECTOR BUREAU OF WEIGHTS AND MEASURES",110422,110422,NA,NA
"DIRECTOR EMPLOYEE MANAGEMENT DIVISION",159723,159723,159723,0
"DIRECTOR FOR EQUAL EMPLOYEMENT OPPORTUNITY",123633,123633,123633,0
"DIRECTOR LEGAL DIVISION/GEN COUNSEL& SPEC COUNSEL",182516,182516,182516,0
"DIRECTOR MANAGEMENT INFORMATION SYSTEMS",200165,200165,200165,7.26995989726818e-17
"DIRECTOR OF  INVESTMENTS",276666.666666667,276650.929360655,282500,-0.0104606293796785
"DIRECTOR OF ADMIN",209561,209561,209561,6.94399970813599e-17
"DIRECTOR OF ADMINISTRATION",180984.5,184146.412629426,177818,0.017483521607703
"DIRECTOR OF ADVOCACY",110000,110000,110000,0
"DIRECTOR OF AUDIT AND INVESTIGATION",158905,NA,158905,NA
"DIRECTOR OF AUDITS",212857,212857,212857,0
"DIRECTOR OF BIODETECTION AND RESPONSE",100205,100205,100205,0
"DIRECTOR OF BUREAU OF CONSUMER SERVICES",98162,98162,98162,0
"DIRECTOR OF COMMUNICATIONS",115077,105070.854924759,125081.201875166,-0.0869440283464526
"DIRECTOR OF COMMUNITY ASSISTANCE UNIT",221151,221151,NA,NA
"DIRECTOR OF COMMUNITY ENGAGEMENT AND RESPONSE",118737,101890,135447.237581928,-0.141390529037163
"DIRECTOR OF COMMUNITY INVOLVEMENT",125000,125000,125000,0
"DIRECTOR OF COMMUNITY PARTICIPATION PROGRAMS",94799,94799,94799,0
"DIRECTOR OF COMMUNITY PLANNING BOARDS",102232,117266,97241.7998602608,0.0933495199371947
"DIRECTOR OF COMMUNITY PROGRAMS",142530,142530,NA,NA
"DIRECTOR OF COMPLIANCE & LEGISLATIVE DEVELOPMENT",89694,89694,NA,NA
"DIRECTOR OF CONSTRUCTION",180430,180430,180430,0
"DIRECTOR OF CONSUMER INFORMATION",104295,104295,104295,0
"DIRECTOR OF CORRECTIONAL STANDARDS REVIEW",103504.363636364,123251.028895769,94223.8964509291,0.133473467796644
"DIRECTOR OF COUNCIL SERVICES BUREAU",194275,194275,194275,0
"DIRECTOR OF CRIMINAL JUSTICE",236088,236088,236088,0
"DIRECTOR OF CRISIS ASSISTANCE AND TRAINING",105338,NA,105338,NA
"DIRECTOR OF DEPARTMENT ADVOCATES OFFICE",234093,234093,234093,0
"DIRECTOR OF DESIGN",145000,145000,145000,0
"DIRECTOR OF DEVELOPMENT",177249,177249,177249,0
"DIRECTOR OF DIRECT SERVICE PROGRAMS",161988,161988,161988,0
"DIRECTOR OF EEO",102637,NA,102637,NA
"DIRECTOR OF EEO/CONTRACT COMPLIANCE",135405,135405,135405,0
"DIRECTOR OF ENERGY CONSERVATION",207556,207556,207556,0
"DIRECTOR OF EQUAL OPPORTUNITY",144360.5,151811,144355.77650892,0.0251723828680546
"DIRECTOR OF EQUIPMENT",77468.3333333333,81956.4110220016,68585.6219435444,0.0888176465739459
"DIRECTOR OF FIELD OPERATIONS",104729.850678733,106798.951674767,104263.855164119,0.0120111001488917
"DIRECTOR OF FINANCE",224950,NA,224950,NA
