"Title","Average_2014","Male_2014","Female_2014","Gap_2014","Average_2015","Male_2015","Female_2015","Gap_2015","Average_2016","Male_2016","Female_2016","Gap_2016","Average_2017","Male_2017","Female_2017","Gap_2017","Average_2018","Male_2018","Female_2018","Gap_2018","Average_2019","Male_2019","Female_2019","Gap_2019","Average_2020","Male_2020","Female_2020","Gap_2020"
"ADMINISTRATIVE SUPERVISOR OF SKILLED TRADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110000,110000,110000,"0.0%"
"ADMINISTRATIVE TAX AUDITOR",110463.357268485,109710.418675005,111979.997937571,"-1.0%",117829.309466668,117900.607039792,117685.686957379,"0.1%",119412.36341456,120797.824033403,116956.716690187,"1.6%",115496.185918254,114068.164917989,118709.679820614,"-2.0%",112443.911018569,111745.671873942,113771.630245222,"-0.9%",116498.238863635,117459.199230331,114681.865393362,"1.2%",121861.769230769,123695.236155471,119476.020644268,"1.7%"
"ADMINISTRATIVE TRANSPORTATION COORDINATOR",126962.842005018,130717.317242301,106475.912546441,"10.2%",140712.131934161,144037.681420175,122570.670987287,"8.1%",135923.507164123,136802.617992785,128869.087647843,"3.0%",137001.325718557,137828.050274543,123645.17347009,"5.4%",134086.837073606,134899.776978224,120261.210552836,"5.7%",140819.131014636,141841.303798014,123500.975303024,"6.9%",137927,141688.798573368,115138.881880096,"10.3%"
"ADMINISTRATOR",159596.931285617,160587.748191535,156980.114499594,"1.1%",154196.264310891,158063.47244875,140795.571825166,"5.8%",157913.312627424,153097.077927955,169060.393214614,"-5.0%",157140.51117418,150026.386610697,171278.744243467,"-6.6%",159478.103992818,154904.349598162,168567.740399419,"-4.2%",154618.974286526,149931.027484061,165547.940004625,"-5.0%",157545.3,149707.15564449,173444.551659771,"-7.3%"
"ADMINISTRATOR OF MEDICAL AFFAIRS",195276.028301529,195276.028301529,NA,NA,203844.072886555,203844.072886555,NA,NA,206776.732110734,206776.732110734,NA,NA,209460.989863993,209460.989863993,NA,NA,203626.043268465,203626.043268465,NA,NA,208858.348086546,208858.348086546,NA,NA,213609,213609,NA,NA
"ADMINISTRATOR SUPT CAMPUS B/G",96948.2242548402,99037.7387347376,78578.9537114787,"11.5%",94557.1072371808,96624.1599118483,78352.5454239666,"10.4%",98790.2095242854,100756.619673411,77722.806019025,"12.9%",99257.2223631025,101861.699012839,76438.4551031527,"14.3%",103953.672594515,106462.594574055,81972.0945564559,"13.0%",96295.8314870461,100911.728979886,84089.3278480653,"9.1%",94708.3636363636,98949.4679634094,83505.8112375593,"8.5%"
"ADULT ED-30 H",36517.9165665533,37416.6254862052,36223.2451023147,"1.6%",38291.1228213923,39252.2684545906,37937.0765565209,"1.7%",40152.3781314545,41790.2400259036,39664.2821237178,"2.6%",41146.0236128414,42500.2225592409,40729.0862577725,"2.1%",42139.9584940267,44732.4192248176,41612.5208900068,"3.6%",43656.0710087998,45850.5952688494,43262.9393659911,"2.9%",44637.5294117647,46654.1173764495,44231.3047277467,"2.7%"
"ADULT ED-35 H",42588.7254195278,NA,42588.7254195278,NA,44675.8845983918,NA,44675.8845983918,NA,53056.0642364581,NA,53056.0642364581,NA,54553.6505842026,NA,54553.6505842026,NA,55695.42883078,NA,55695.42883078,NA,57078.099090845,NA,57078.099090845,NA,58093,NA,58093,NA
"ADULT EDUCAT TEACH - REG SUB",38268.0515194051,36624.9265078418,39362.6102270346,"-3.6%",37771.4100278973,41239.3983977537,36125.1292577789,"6.6%",38560.0357035779,38947.3413669269,38489.8589345736,"0.6%",37920.9090667093,41718.1632286178,36024.6723879942,"7.3%",40898.4077698506,45187.4321623632,38759.2932594985,"7.7%",37617.0011511265,37617.0011511265,37617.0011511265,"0.0%",45567.6666666667,38286,45571.1674025877,"-8.7%"
"ADULT EDUCATION TEACHER",93216.5493570924,91490.2979513294,94109.0422494805,"-1.4%",96903.5510326033,95464.505906517,97622.7522356324,"-1.1%",99640.4364645675,95919.2507581765,101569.044820427,"-2.9%",102980.231168726,98786.9605250772,105142.220460027,"-3.1%",106657.269750842,101959.681443391,109585.704947405,"-3.6%",107562.148061342,105553.371754251,108705.412029607,"-1.5%",110195.176470588,107825.691480534,111595.853993074,"-1.7%"
"ADULT EDUCATOR ASSISTANT COORD",89345.2476952844,89345.2476952844,89345.2476952844,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGENCY ATTORNEY",82881.7814644014,83104.8752245318,82744.6560817069,"0.2%",87122.2632392061,87742.1677787275,86729.5993509629,"0.6%",87687.9024384061,87784.9498838141,87624.0131631984,"0.1%",89012.3149619799,89212.8794384683,88877.9956464771,"0.2%",86752.8022127919,86823.3457356607,86705.3727253873,"0.1%",89460.9875237698,89485.8050835209,89444.1225658378,"0.0%",92122.9175098425,92028.7841990797,92190.1270745047,"-0.1%"
"AGENCY ATTORNEY INTERN",NA,NA,NA,NA,61193.360426497,60902.6329956468,61339.461488917,"-0.4%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGENCY ATTORNEY INTERNE",59347.4401268269,60617.8608341621,58618.5564660519,"1.7%",61628.0769827945,68184.9870607787,60189.4445393639,"6.2%",62159.5638933947,62380.6773534278,61966.8596038524,"0.3%",63704.606377656,64133.6119123151,63473.8409330712,"0.5%",61128.6939572644,62185.6557249342,60524.6587272604,"1.4%",65797.3571350264,67134.0299216894,65091.2505457758,"1.5%",67097.8846153846,66910.1021000496,67248.8554036155,"-0.3%"
"AGENCY CHIEF CONTRACTING OFFICER",130790.27706639,133191.321828106,129364.505852924,"1.5%",138797.506415472,142736.735974679,136036.192330364,"2.4%",144574.950702198,150091.104637417,141130.491035296,"3.1%",152619.247827879,158568.433700252,148442.425075661,"3.3%",152836.784907794,158048.882427028,147556.483620554,"3.4%",161179.901677254,166497.051333081,157036.656253491,"2.9%",167387.954545455,169815.739467732,165683.808746178,"1.2%"
"AGENCY DEPUTY MEDICAL DIRECTOR",159271.858112978,166152.433505794,141938.371389191,"7.9%",167039.148600714,173306.399243153,148099.936503791,"7.8%",171298.81237686,175847.483590261,144133.759446746,"9.9%",169779.000036858,175379.913059481,157196.750126011,"5.5%",166983.029234481,170494.361686431,156469.399133028,"4.3%",169614.586870111,173533.324314879,160489.808149345,"3.9%",173472.4,177480.193180634,164140.255030528,"3.9%"
"AGENCY MEDICAL DIRECTOR",179242.370676682,187183.61606844,174227.424790293,"3.6%",190613.116262283,196480.553690187,187259.490216904,"2.4%",190308.701264024,193181.370044592,188776.924379054,"1.2%",190343.605847186,196427.830706019,187973.421403314,"2.2%",185041.211469886,190955.948314987,182737.053161288,"2.2%",188025.893675546,195258.633525364,184164.731202754,"2.9%",191210.05,197943.91345304,187579.659660594,"2.7%"
"AGENCY SECURITY DIRECTOR",107882.619290059,111462.357709055,76372.2808805327,"18.7%",107775.606584279,107733.599087054,131264.56521794,"-9.8%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIR POLLUTION INSPECTOR",48279.9132442478,48246.3556138794,49058.6842355519,"-0.8%",49258.8653068171,49180.4427520803,51150.2747516721,"-2.0%",47575.1411062453,47582.0412056424,47473.2733494219,"0.1%",47609.0235812027,47573.7106894504,48065.631029261,"-0.5%",45245.5383257158,45330.2577402735,44566.69583432,"0.8%",48474.2373141166,48669.9880224051,47113.2079598042,"1.6%",47437.3673469388,47725.2296445415,45711.3336742188,"2.2%"
"ANALYST",66774.6532401365,67157.1355760108,66521.4377176502,"0.5%",69519.5865811033,72208.2504460789,67809.8089837176,"3.1%",75304.273335389,75664.994152401,74972.8491734663,"0.5%",74798.9530337096,76990.6684392948,72835.9277750286,"2.8%",74619.8999471768,76544.6355895906,72975.1383336889,"2.4%",78171.2544139827,76516.8790793557,79808.3308922035,"-2.1%",81013.7884615385,82141.6559095117,80355.0445583895,"1.1%"
"ANNUAL ED PARA",33007.5727419119,32167.4011265508,33200.3039850092,"-1.6%",34507.975613719,33646.3395133616,34708.083479191,"-1.6%",35132.4596836231,34292.0923425589,35330.0146041843,"-1.5%",36112.8509995208,35178.5491390268,36333.3868754435,"-1.6%",37020.285684675,36068.676159187,37243.0338307021,"-1.6%",38208.2453473936,37229.8775438913,38434.7988658244,"-1.6%",38921.1901491366,38030.8597482208,39127.1670634371,"-1.4%"
"APPRAISER",71869.2485985631,71869.1687277422,71898.7374234112,"0.0%",78610.2488241457,78604.9959528251,80651.7590024914,"-1.3%",75857.5713393393,77517.7852255248,66071.9579016622,"8.0%",79455.3606268352,81267.5214436911,67041.7468618945,"9.6%",83649.188165536,81456.0568959344,91231.8575491618,"-5.7%",86438.1546137723,84371.1412013741,93584.7762205049,"-5.2%",87144.3636363636,85213.5574494954,95713.7053045016,"-5.8%"
"APPRENTICE",40568.5851757452,40609.8644944431,35983.3548572448,"6.0%",41779.6457634765,41762.0308082649,43739.6177223713,"-2.3%",42349.208603815,42464.6659748981,38097.5813526869,"5.4%",47674.4269181534,45943.8580916487,51349.6967464097,"-5.6%",40229.692713232,38972.7019573459,47583.4358891784,"-9.9%",48362.8927968507,45883.0341198291,59404.4670431211,"-12.8%",41253.6785714286,41080.1254937669,44182.2080849612,"-3.6%"
"APPRENTICE INSPECTOR",39360.6886895052,39457.0567501649,38817.1810698106,"0.8%",37302.6101418547,37414.4300343366,36782.6544285253,"0.9%",38125.7661406779,38532.0975962055,36412.1259476644,"2.8%",37248.3708579908,37338.7807648305,36937.6566132111,"0.5%",38737.2395691576,38794.0780114328,38495.7004447655,"0.4%",38473.5507652097,38538.965925518,38283.2097645937,"0.3%",40043.0833333333,40401.1100692805,38922.1547815174,"1.9%"
"ARCHITECT",87601.6181485556,89041.6771095924,84870.3575545689,"2.4%",92124.7530047806,92801.4677192982,90308.5769746254,"1.4%",94114.2465110219,94516.2555693863,93279.4559237162,"0.7%",95281.3443712088,96022.7584300766,93670.9754897758,"1.2%",93841.2573890229,94099.4147168343,93271.2608752897,"0.4%",97276.9597659047,97835.1414631785,96062.179722411,"0.9%",99712.0416666667,100170.88699129,98664.1444413715,"0.8%"
"ARCHITECTURAL INTERN",53046.7078796616,52048.9269519096,54042.0769486502,"-1.9%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62260,NA,62260,NA
"AREA MANAGER OF SCHOOL MAINTENANCE",124717.138060638,128981.077010726,102265.496961485,"11.6%",131822.1728639,134874.659761715,106418.217300809,"11.8%",135449.468664854,136130.002027664,129593.139762971,"2.5%",134414.726677677,134526.73927597,133337.966143619,"0.4%",130437.725580868,131921.989384422,119972.260817281,"4.7%",138713.513322032,139120.837309909,135195.247115312,"1.4%",142120.5,142538.540151834,138300.262860034,"1.5%"
"AREA SUPERVISOR",102922.123208663,102922.026102125,102958.222775019,"0.0%",107214.7856591,107229.787048708,105020.506694446,"1.0%",108003.323878222,108072.745878902,105328.602574947,"1.3%",109667.765400775,109747.148046511,106730.529661046,"1.4%",106495.314439808,106576.333290976,103721.425230144,"1.4%",108770.546246099,108914.902665907,106203.893503519,"1.3%",111360.150943396,111446.061094308,110237.806812316,"0.5%"
"ARTS PROGRAM SPECIALIST",50778.3089056658,50417.8368253481,50961.3853216699,"-0.5%",50912.5857054494,50344.6540929924,51104.9248653157,"-0.7%",51599.9277808315,51051.9623786359,52144.2842938832,"-1.1%",54849.651198506,54849.651198506,54849.651198506,"0.0%",54274.0628085486,55293.8129857159,52247.2948148483,"2.8%",54825.5639501648,55979.3587755773,52517.9742993399,"3.2%",60740,60740,NA,NA
"ASBESTOS HANDLER",78354.5648343691,78354.9382653008,78327.0721432937,"0.0%",82327.7431123264,82310.0970871203,83602.3841043913,"-0.8%",81765.0877910753,81752.4256117843,82731.233476653,"-0.6%",83325.9960892498,83319.072549485,83825.6262079497,"-0.3%",81728.3824320795,81729.0610520804,81680.7365365746,"0.0%",80368.8904248429,80369.5824812316,80326.1270830827,"0.0%",84841.1363636364,84828.1801691496,85689.0019168889,"-0.5%"
"ASBESTOS HANDLER SUPERVISOR",82256.0897960216,82256.0677132397,82268.177706238,"0.0%",85845.146795592,85845.146795592,85845.146795592,"0.0%",87089.246891151,87089.2441475235,87091.1429681807,"0.0%",88230.6050713382,88230.5990001863,88234.8007471537,"0.0%",85772.768559553,85772.762657525,85776.8473565916,"0.0%",84349.6480237877,84349.6461999911,84350.7272454312,"0.0%",88515.5714285714,88511.617009824,89989.4768713618,"-0.8%"
"ASBESTOS HAZARD INVESTIGATOR",67426.7274091497,68402.0561231394,59736.4672201933,"6.8%",72034.0330728739,73116.4255713258,67736.0010726943,"3.8%",72711.1069676376,73608.4399171739,68710.9691130664,"3.4%",73664.1244087329,74575.1374795383,69603.0032023615,"3.4%",72792.6802505016,74080.4419381171,67678.9405323949,"4.5%",75121.2076961026,75122.6489038981,74344.2966393296,"0.5%",75249.4,75256.3586332816,66950,"5.8%"
"ASIST SYSTMS ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71823.9796556018,71823.9796556018,71823.9796556018,"0.0%",NA,NA,NA,NA
"ASPHALT PLANT MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152837.808946715,152837.808946715,152837.808946715,"0.0%",168490.971315808,168483.11080711,170636.587436929,"-0.6%",172323,172314.960648624,174517.433283829,"-0.6%"
"ASPIRING PRINCIPAL",99911.111473627,95741.7451849137,102839.769426925,"-3.6%",103415.087613541,104577.740959911,102882.08871601,"0.8%",118460.966456664,107117.292591153,125564.118465152,"-7.9%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASS COMMISSIONER DESIGN AND CONSTRUCTION MANAGEMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187460,187460,187460,"0.0%"
"ASSIST COORDINATING MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51241.9853172646,51324.3139398733,51224.9625629614,"0.1%",NA,NA,NA,NA
"ASSISTANCE FINANCE OFFICER",60671.5859731654,66337.9191000606,55012.807828716,"9.3%",64415.7876771986,71406.6277545655,57434.2685615337,"10.8%",65342.449880072,72433.4523919443,58260.9018775446,"10.8%",67559.7701030801,74428.8362004054,60699.8626049092,"10.2%",65677.7602318693,72354.5994930723,59311.651898348,"9.9%",67365.0678812226,74213.3309488121,60835.5135697904,"9.9%",69397.5,76898.5518733997,62245.5367770871,"10.5%"
"ASSISTANT ACCOUNTANT",51308.4995047022,54654.5718233483,44625.3389786685,"10.1%",57074.0675974198,57073.4966376121,58199.8407693919,"-1.0%",57905.925119928,57905.3458818096,59048.0208070373,"-1.0%",58657.6306316268,58657.0438752903,59814.5501434837,"-1.0%",57023.6073112081,57023.0369001199,58148.2985615095,"-1.0%",58511.1948457725,58510.6088198167,59666.6742512323,"-1.0%",59851.5,59850.8989041381,61036.6930484365,"-1.0%"
"ASSISTANT ADMINISTRATOR",119666.945635267,120648.421648394,113847.991635141,"2.9%",119947.668099103,121008.750518963,113656.745336934,"3.1%",120987.439167055,120080.686894503,122793.079864452,"-1.1%",123941.566830071,118465.520267603,127223.117353336,"-3.6%",126369.930086208,120456.855079881,129323.027618186,"-3.5%",130436.555367617,145059.572619437,128589.227197979,"6.0%",130797.111111111,144081.951964657,129125.049076995,"5.5%"
"ASSISTANT ADMINISTRATOR OF PUBLIC AFFAIRS",162635.153078645,162635.153078645,162635.153078645,"0.0%",166427.113116803,166427.113116803,166427.113116803,"0.0%",168820.786852888,168820.786852888,168820.786852888,"0.0%",171012.511493617,171012.511493617,171012.511493617,"0.0%",149044.768783642,149044.768783642,NA,NA,94531.9509009327,94531.9509009327,94531.9509009327,"0.0%",118450,118450,118450,"0.0%"
"ASSISTANT ADVOCATE-PD",93277.765696726,92884.1203953727,93580.1730648171,"-0.4%",99337.1393262439,95128.7822605862,102333.264262689,"-3.6%",101350.29108444,98878.8329213922,103278.890145452,"-2.2%",110082.282347903,105957.207287771,115571.66306499,"-4.3%",NA,NA,NA,NA,107004.818732821,94116.4299737365,111866.329529157,"-8.6%",NA,NA,NA,NA
"ASSISTANT ARCHITECT",66597.9666968878,66550.5540329369,66674.8702788565,"-0.1%",69549.2014769184,69468.3165741041,69703.6144085484,"-0.2%",69715.2556663676,69029.7745303713,71031.420328968,"-1.4%",72340.649563936,71583.5976026972,73707.8563448073,"-1.5%",71015.9522419339,70584.217493501,71954.7168863656,"-1.0%",72160.3492846571,71827.9007498112,73182.4231307398,"-0.9%",74499.7083333333,74096.1728036031,75613.6576343302,"-1.0%"
"ASSISTANT BUDGET ANALYST",64234.3800599416,58762.2492760221,64235.1959434639,"-4.4%",65652.8461353968,56330.5466624767,65662.3168827021,"-7.6%",60119.5463150681,53564.9737311632,61219.6116832391,"-6.7%",68846.4773997764,73692.068945005,67872.0695531645,"4.1%",62983.0018114788,57102.823532226,68853.3550343061,"-9.3%",59449.6728248017,53839.912518586,63190.9753711272,"-8.0%",60143.55,53643.2171141255,66638.5291501677,"-10.8%"
"ASSISTANT CAPTAIN",68321.9435739849,68321.9435739849,68321.9435739849,"0.0%",68199.476539719,68199.476539719,68199.476539719,"0.0%",67493.183240056,67493.183240056,67493.183240056,"0.0%",66377.8744118044,66377.8744118045,66377.8744118045,"0.0%",64528.7885626015,64528.7885626015,64528.7885626015,"0.0%",63461.0652853149,63461.0652853149,63461.0652853149,"0.0%",63014,63014,63014,"0.0%"
"ASSISTANT CARETAKER",NA,NA,NA,NA,32392.96557644,32392.96557644,32392.96557644,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT CHEMICAL ENGINEER",63671.0428678015,63217.1337531372,64820.8714944256,"-1.3%",66420.6823087666,65339.2631391341,69355.5582469451,"-3.0%",65774.5959057899,65758.3590272805,65807.458884587,"0.0%",66091.2037609412,64667.7138010443,68686.3494339525,"-3.0%",63855.3648137622,62979.3537953624,65855.7934214006,"-2.2%",64596.2387322961,65088.1148331603,63818.6180009246,"1.0%",65626.1666666667,65345.6784547668,66248.9504854663,"-0.7%"
"ASSISTANT CHIEF FIRE MARSHAL",193011.06273632,193011.06273632,193011.06273632,"0.0%",201480.349638344,201480.349638344,201480.349638344,"0.0%",204378.578727763,204378.578727763,204378.578727763,"0.0%",207030.835354392,207030.835354392,207030.835354392,"0.0%",205289.082476033,205289.082476033,205289.082476033,"0.0%",210563.359409872,210563.359409872,210563.359409872,"0.0%",215352,215352,215352,"0.0%"
"ASSISTANT CHIEF OF DEPARTMENT",215368.369379902,215368.351203646,215373.971188711,"0.0%",224727.957409207,224727.926636407,224737.397100093,"0.0%",228088.414667866,228088.47574975,228069.635784507,"0.0%",231021.030541412,231021.064852097,231010.101741859,"0.0%",230056.487817307,230056.557191819,230033.524157435,"0.0%",235888.140340522,235888.147111204,235886.042812786,"0.0%",241216.636363636,241216.61433021,241224.105779361,"0.0%"
"ASSISTANT CITY ASSESSOR",38314.4567497503,38536.8979998897,37984.9231379916,"0.7%",41047.3868346252,40532.3397198467,42211.4707455517,"-2.0%",40802.7817317422,40263.8537982591,42164.1030717392,"-2.3%",41480.1699965146,41467.2318130158,41507.1370457218,"0.0%",43214.9846009079,43807.1464030496,41856.3134015296,"2.3%",44091.6409379462,43764.3261470673,44498.9845875166,"-0.8%",51902.875,52024.7486562846,51722.9361686969,"0.3%"
"ASSISTANT CITY HIGHWAY REPAIRER",49905.1388393591,49905.1388393591,49905.1388393591,"0.0%",52094.9884749871,52094.9884749871,52094.9884749871,"0.0%",52843.9899310414,52843.9899310414,52843.9899310414,"0.0%",53529.7623382846,53529.7623382846,53529.7623382846,"0.0%",52038.5858441889,52038.5858441889,52038.5858441889,"0.0%",53375.0118871426,53375.0118871426,53375.0118871426,"0.0%",54589,54589,54589,"0.0%"
"ASSISTANT CIVIL ENGINEER",65597.4486947895,65988.3730607036,64751.9911103183,"0.9%",67672.1922542922,67805.4346542258,67412.8534001165,"0.3%",68684.7743897201,68864.5295526156,68355.4318038796,"0.4%",69156.7361377787,69146.9016613525,69176.5935199448,"0.0%",67721.0566588901,67529.4997743159,68155.7444460059,"-0.5%",69836.6041563888,69534.1216578122,70513.0990256564,"-0.7%",72452.1404255319,72331.3912392474,72733.8140152903,"-0.3%"
"ASSISTANT COLLEGE SECURITY DIRECTOR",74532.1126825752,72258.1982885077,82819.3424245786,"-6.8%",78936.6136343554,77160.2459473101,83928.6517316446,"-4.2%",80294.7594943034,79485.4188608631,83075.806595982,"-2.2%",80151.5383328961,79794.6911990227,81714.8784963921,"-1.2%",83745.1801015084,83256.5638170348,85885.7982809635,"-1.6%",80383.6329371413,80823.7915142718,78455.3324104398,"1.5%",78034.3571428571,78741.818598697,76356.4239073152,"1.5%"
"ASSISTANT COMISSIONER FOR FAMILY OPERATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163846.227346562,163846.227346562,163846.227346562,"0.0%",168055.906406371,168055.906406371,168055.906406371,"0.0%",171878,171878,171878,"0.0%"
"ASSISTANT COMMISSIONER",144207.884017323,146185.667789553,141624.503261338,"1.6%",149448.778254255,149528.071684773,149353.036655565,"0.1%",154261.321033516,155176.837132092,153160.177803023,"0.7%",158255.658848474,158801.205440236,157804.985603655,"0.3%",157492.853564525,154615.210383945,159686.43598912,"-1.6%",161842.388162152,164726.918132169,159643.689431386,"1.6%",166137.75,163548.997581657,168222.905710347,"-1.4%"
"ASSISTANT COMMISSIONER FOR AFTERCARE & PREVENTIVE SVCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113914.089562697,113914.089562697,113914.089562697,"0.0%",116841.112645946,116841.112645946,116841.112645946,"0.0%",NA,NA,NA,NA
"ASSISTANT COMMISSIONER FOR FACILITIES OPERATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148355.297212291,148355.297212291,148355.297212291,"0.0%",144222.569505048,144222.569505048,144222.569505048,"0.0%",156803.637348181,156803.637348181,156803.637348181,"0.0%",160370,160370,160370,"0.0%"
"ASSISTANT COMMISSIONER FOR LABOR RELATIONS & ADMIN",169445.229055225,NA,169445.229055225,NA,179199.227609538,NA,179199.227609538,NA,181776.598965621,NA,181776.598965621,NA,184135.55652206,NA,184135.55652206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT COMMISSIONER FOR MANAGEMENT ACD-DOSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205873.167471404,205873.167471404,205873.167471404,"0.0%",200138.166703825,200138.166703825,200138.166703825,"0.0%",221702.833861912,221702.833861912,221702.833861912,"0.0%",226745,226745,226745,"0.0%"
"ASSISTANT COMMISSIONER OF LABOR RELATIONS",132903.06178029,122020.489202253,140144.532218015,"-6.9%",160244.851240233,140990.866588982,173046.799870795,"-10.2%",160696.805737391,145826.43550358,175498.028427299,"-9.2%",168006.156499945,158156.071538784,177810.438352535,"-5.9%",166299.48325477,159691.952920226,172876.28843004,"-4.0%",171727.198191758,172873.527523357,170863.400588683,"0.6%",175632.857142857,176805.296232968,174749.384960935,"0.6%"
"ASSISTANT CORPORATION COUNSEL",101362.7621831,99953.4395352022,102513.908270541,"-1.3%",106831.25153906,105648.055822633,107775.905153466,"-1.0%",107582.829186253,106032.573914141,108839.009052326,"-1.3%",107986.642140397,106296.10032036,109336.694425761,"-1.4%",105453.084259083,103864.465246939,106718.766516574,"-1.4%",110134.741393601,108722.690376072,111206.95056228,"-1.1%",113869.349823322,113607.175367299,114071.4771825,"-0.2%"
"ASSISTANT COUNSEL",121344.256180685,121344.256180685,121344.256180685,"0.0%",126669.158206996,126669.158206996,126669.158206996,"0.0%",128491.323106136,128491.323106136,128491.323106136,"0.0%",130159.159804897,130159.159804897,130159.159804897,"0.0%",126533.321185145,126533.321185145,126533.321185145,"0.0%",142762.723071863,142762.723071863,142762.723071863,"0.0%",146010,146010,146010,"0.0%"
"ASSISTANT COUNSEL-PD",97940.6962412164,98926.4165136561,95979.636738442,"1.5%",102470.757911612,103267.807043884,100885.21585967,"1.2%",106586.082413052,106555.856959164,106606.35351856,"0.0%",109997.673122996,118559.979453751,106713.798453976,"5.3%",111751.465652997,122058.43397559,110022.450111485,"5.2%",113501.460741302,125148.891931834,111822.42486846,"5.6%",116888.25,126368.754390844,111205.194396654,"6.4%"
"ASSISTANT DEAN",121926.971910641,125250.431005847,117785.681539123,"3.1%",126327.394802874,133978.853085199,116792.406326403,"6.9%",121954.507520488,127501.748172697,115037.673432535,"5.1%",122224.887757826,122967.641751933,121330.820617108,"0.7%",130031.903611231,131420.689331316,128870.003110001,"1.0%",126012.220511194,127916.275231956,123168.3083597,"1.9%",131903.909090909,134746.121416102,126962.344392382,"3.0%"
"ASSISTANT DEPUTY ADMINISTRATOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178982.933728945,169002.765690113,178989.896249851,"-2.9%",186175.737363442,188871.595786413,184830.335650427,"1.1%",157347.804183209,154580.034549539,162862.644667148,"-2.6%",164871,164018.391835045,166569.840094142,"-0.8%"
"ASSISTANT DEPUTY COMMISSIONER",108870.139939553,108870.139939553,108870.139939553,"0.0%",140697.812393491,140697.812393491,NA,NA,142721.72321607,142721.72321607,NA,NA,144574.705736366,144574.705736366,NA,NA,140547.293817881,140547.293817881,NA,NA,144158.556322973,144158.556322973,NA,NA,159232,159232,NA,NA
"ASSISTANT DEPUTY COMMISSIONER SS",110384.815331892,111899.508199047,110382.248318306,"0.7%",117843.076206466,119126.99348972,117840.90029795,"0.5%",122786.738506896,122786.738506896,122786.738506896,"0.0%",124380.300836681,124380.300836681,124380.300836681,"0.0%",143122.751703984,NA,143122.751703984,NA,151450.92902953,156099.678154439,151444.01015278,"1.5%",159650,159650,159650,"0.0%"
"ASSISTANT DIRECTOR",111446.280764318,111446.280764318,111446.280764318,"0.0%",116337.609613855,116337.609613855,116337.609613855,"0.0%",118010.782305617,118010.782305617,118010.782305617,"0.0%",119542.112859828,119542.112859828,119542.112859828,"0.0%",116212.032901233,116212.032901233,116212.032901233,"0.0%",110780.416754763,110780.416754763,110780.416754763,"0.0%",113300,113300,113300,"0.0%"
"ASSISTANT DIRECTOR HEALTH PROGRAM",73604.3333459792,73604.3333459792,73604.3333459792,"0.0%",76777.7139322637,76777.7139322637,76777.7139322637,"0.0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT DIRECTOR OF ADMINISTRATION",125378.4211528,132929.016988671,117845.489616096,"6.0%",125980.821217132,138771.572192652,117470.284506874,"8.3%",129698.432915251,136687.944454576,119243.672563528,"6.8%",137689.794650646,135747.059320142,147364.170653668,"-4.1%",133854.175430774,131965.558802326,143259.052720172,"-4.1%",134995.169517075,137281.77876056,123596.689045669,"5.2%",142083.666666667,142702.734414848,139001.344811193,"1.3%"
"ASSISTANT DIRECTOR OF FINANCE",NA,NA,NA,NA,NA,NA,NA,NA,109785.940935439,109785.940935439,NA,NA,126405.956286167,126405.956286167,NA,NA,122884.670509921,122884.670509921,NA,NA,149314.881175559,149314.881175559,NA,NA,152711,152711,NA,NA
