"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"BUSINESS DATA AND REPORTING ANALYST",NA,NA,NA,NA,"$294.04","$1,470","$285","$2,567","$206.15","$3,917","$729.10","$13,853","$256.01","$5,120"
"BUSINESS PROMOTION COORDINATOR","$1,113.33","$25,607","$240.88","$7,949","$85.00","$6,800","$275","$29,746","$428.34","$46,689","$358.45","$30,827","$744.74","$49,898"
"CALL CENTER REPRESENTATIVE","$715.97","$105,248","$768.54","$139,874","$345.16","$64,546","$761","$138,479","$555.31","$102,176","$580.14","$118,929","$792.45","$173,548"
"CAMPUS PEACE OFFICER","$6,304.07","$718,664","$6,060.17","$721,160","$6,999.32","$776,924","$7,742","$1,029,685","$6,880.02","$887,523","$7,358.58","$838,878","$5,035.21","$644,507"
"CAMPUS PUBLIC SAFETY SERGEANT","$10,889.97","$468,269","$10,057.86","$442,546","$8,630.03","$440,131","$11,140","$523,569","$8,027.44","$385,317","$7,781.99","$342,408","$8,171.09","$326,844"
"CAMPUS SECURITY ASSISTANT","$3,609.83","$324,885","$2,967.14","$311,549","$3,955.72","$454,907","$5,598","$582,166","$4,570.71","$443,359","$4,406.28","$409,784","$4,514.56","$370,194"
"CAPT DET CHIEF OF DEPARTMENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPT DET CHIEF OF INTERNAL AFFAIRS","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAPT DET CHIEF OF THE HOUSING BUREAU","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPT DET CHIEF OF THE TRANSIT BUREAU","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN","$25,196.13","$42,757,838","$23,242.02","$39,418,468","$34,056.21","$52,310,341","$37,286","$60,327,974","$32,622.37","$51,575,962","$30,521.78","$49,292,671","$29,910.24","$47,317,998"
"CAPTAIN-CHIEF OF COMMUNITY AFFAIRS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN-CHIEF OF INTELLIGENCE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN-CHIEF OF STAFF","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN-MANAGERIAL DETAILS",NA,NA,NA,NA,"$0.00","$0","$0","$0",NA,NA,NA,NA,"$0.00","$0"
"CAPTAIN CHIEF OF COUNTERTERRORISM","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"CAPTAIN D/A CHIEF OF MANAGEMENT ANALYSIS AND PLANNING",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"CAPTAIN D/A DEPUTY CHIEF INSPECTOR","$0.00","$0","$0.00","$0","$524.08","$32,493","$2,854","$179,790","$2,691.00","$182,988","$3,409.23","$245,464","$3,201.02","$224,071"
"CAPTAIN D/A DEPUTY INSPECTOR","$68.13","$11,037","$1.25","$207","$369.51","$65,035","$1,509","$254,994","$1,412.89","$235,953","$1,370.56","$237,107","$1,742.59","$292,755"
"CAPTAIN D/A INSPECTOR","$0.00","$0","$315.55","$34,395","$277.82","$34,172","$1,722","$222,094","$1,922.85","$238,434","$2,066.03","$245,858","$2,092.36","$259,453"
"CAPTAIN DETAILED AS ASSISTANT CHIEF INSPECTOR","$0.00","$0","$0.00","$0","$57.05","$1,597","$237","$6,860","$446.83","$11,617","$283.45","$7,086","$417.76","$10,026"
"CAPTAIN DETAILED AS CHIEF OF CRIME CONTROL STRATEGIES",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN DETAILED AS CHIEF OF CRIMINAL JUSTICE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"CAPTAIN DETAILED AS CHIEF OF DETECTIVES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN DETAILED AS CHIEF OF ORGANIZED CRIME CONTROL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"CAPTAIN DETAILED AS CHIEF OF PATROL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN DETAILED AS CHIEF OF PERSONNEL",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN DETAILED AS CHIEF OF SPECIAL OPERATIONS",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN DETAILED AS CHIEF OF STRATEGIC INITIATIVES",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0",NA,NA
"CAPTAIN DETAILED AS CHIEF OF TRAINING",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"CAPTAIN: CHIEF OF TRANSPORTATION BUREAU","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CARETAKER","$8,965.09","$24,134,010","$7,362.86","$19,504,216","$8,138.00","$20,890,245","$7,534","$20,348,699","$7,660.22","$20,613,665","$7,043.80","$19,454,979","$6,941.26","$19,754,813"
"CASE - MANAGEMENT NURSE","$652.39","$7,829","$523.91","$6,287","$680.34","$8,844","$153","$2,597","$127.86","$2,429","$195.68","$4,109","$242.74","$5,826"
"CASE MANAGEMENT NURSE","$2,442.52","$39,080","$4,420.57","$79,570","$6,634.22","$126,050","$3,953","$79,057","$3,688.58","$77,460","$6,768.96","$135,379","$4,315.74","$86,315"
"CASE MGMT NURSE","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASEWORKER","$858.62","$1,070,694","$1,001.00","$1,254,257","$1,107.06","$1,327,365","$1,464","$1,729,010","$1,380.27","$1,588,690","$1,503.91","$1,672,344","$1,198.03","$1,251,938"
"CASHIER","$3,281.05","$104,993","$2,217.86","$82,061","$2,241.44","$76,209","$3,671","$106,461","$3,470.93","$93,715","$6,158.05","$166,267","$4,429.68","$132,891"
"CERTIFIED APPLICATIONS DEVELOPER","$328.01","$328","$164.53","$165","$467.63","$2,338","$1,419","$1,419",NA,NA,"$0.00","$0",NA,NA
"CERTIFIED DATABASE ADMINISTRATOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$9,171.93","$9,172",NA,NA
"CERTIFIED IT ADMINISTRATOR","$6,863.38","$926,557","$7,092.88","$978,817","$7,435.17","$1,130,146","$6,543","$1,707,736","$5,862.53","$1,881,873","$5,872.38","$2,072,948","$7,750.13","$2,650,545"
"CERTIFIED IT DEVELOPER","$5,690.35","$210,543","$5,688.16","$193,397","$3,454.72","$148,553","$2,327","$144,247","$1,667.44","$156,739","$2,219.43","$204,187","$2,519.42","$375,394"
"CERTIFIED LOCAL AREA NETWORK ADMINISTRATOR","$17,483.78","$87,419","$5,811.99","$180,172","$6,559.49","$157,428",NA,NA,NA,NA,"$3,649.18","$47,439",NA,NA
"CERTIFIED WIDE AREA NETWORK ADMINISTRATOR",NA,NA,NA,NA,"$1,656.48","$13,252","$98","$196",NA,NA,"$0.00","$0",NA,NA
"CHAIR",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHAIR-LANDMARKS PRESERVATION COMMISSION",NA,NA,"$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0","$0.00","$0"
"CHAIRMAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHAIRMAN COMMISSION ON HUMAN RIGHTS","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHANCELLOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHAPLAIN","$904.08","$14,465","$1,116.21","$16,743","$849.70","$11,896","$1,459","$18,963","$1,303.79","$18,253","$1,306.03","$19,590","$1,061.26","$13,796"
"CHAUFFER ATTENDANT","$7,424.65","$7,425","$3,320.10","$3,320","$2,329.53","$2,330","$4,062","$4,062",NA,NA,NA,NA,NA,NA
"CHAUFFEUR-ATTENDANT","$10,487.33","$304,133","$12,894.96","$451,324","$18,434.59","$682,080","$21,153","$824,963","$21,733.80","$782,417","$17,982.31","$593,416","$18,372.27","$459,307"
"CHAUFFEUR ATTENDANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHEMICAL ENGINEER","$3,952.81","$39,528","$2,176.17","$21,762","$4,554.58","$31,882","$4,007","$20,033","$0.00","$0",NA,NA,NA,NA
"CHEMICAL ENGINEERING INTERN",NA,NA,"$0.00","$0","$38.11","$38",NA,NA,"$116.58","$117","$35.83","$215","$1,282.66","$2,565"
"CHIEF ACTUARY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF ADMINISTRATIVE LAW JUDGE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF ADMINISTRATIVE SUPT CAMPUS B/G","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF ADMINISTRATOR OF IMPARTIAL HEARING OFFICE","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIEF ADMINISTRATOR OF IMPARTIAL HEARINGS",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF ADMINISTRATOR SUPT CAMPUS B/G","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0","$0.00","$0"
"CHIEF ASSET MANAGEMENT OFFICER",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0",NA,NA,NA,NA
"CHIEF CARETAKER","$12,517.81","$337,981","$8,925.96","$241,001","$9,610.24","$249,866","$9,956","$238,942","$10,197.25","$244,734","$10,083.60","$181,505","$13,084.49","$209,352"
"CHIEF CITY MEDICAL EXAMINER",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF CLERK","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$578.72","$2,315","$11.23","$45","$0.00","$0"
"CHIEF COLLEGE LAB TECHNICIAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF DOCKMASTER","$922.23","$1,844","$0.00","$0","$183.38","$183",NA,NA,NA,NA,NA,NA,NA,NA
"CHIEF ENGINEER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"CHIEF FIRE MARSHAL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF INFORMATION TECHNOLOGY OFFICER",NA,NA,"$0.00","$0",NA,NA,"$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"CHIEF INVESTIGATING ACCOUNTANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$192.75","$771"
"CHIEF INVESTIGATOR","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIEF MARINE ENGINEER","$72,222.21","$2,094,444","$63,141.53","$1,894,246","$61,988.15","$1,983,621","$63,289","$2,025,264","$58,168.32","$1,628,713","$56,175.98","$1,629,103","$50,745.00","$1,319,370"
"CHIEF OF DEPARTMENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF OF HOUSING COMMUNITY ACTIVITIES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF OF STAFF","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF OF STAFF - MAYOR'S OFFICE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"CHIEF OFFICE ASSISTANT","$2,734.34","$2,734","$1,182.95","$1,183","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"CHIEF RACKETS INVESTIGATOR","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"CHIEF REVIEW ASSESSOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"CHIEF SCHOOL BUSINESS EXECUTIVE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF SERVICE OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"CHIEF STRATEGY OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"CHIEF, PUBLICATIONS & REPORTS",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0",NA,NA,NA,NA
"CHILD AND FAMILY SPECIALIST","$1,313.73","$229,903","$1,508.39","$248,885","$1,340.79","$238,660","$3,479","$695,872","$5,839.09","$1,051,036","$5,589.83","$1,106,786","$4,318.65","$798,950"
"CHILD PROTECTIVE SPECIALIST","$5,638.46","$7,769,797","$6,683.80","$10,052,438","$7,586.21","$10,780,008","$10,705","$16,036,096","$11,148.72","$18,518,022","$10,326.42","$17,276,104","$6,125.43","$10,376,471"
"CHILD PROTECTIVE SPECIALIST SUPERVISOR","$10,051.93","$4,151,446","$12,639.10","$5,017,721","$13,722.79","$5,283,275","$21,917","$8,766,906","$23,476.28","$9,766,131","$20,923.86","$9,687,745","$11,767.65","$5,342,512"
"CHILD WELFARE SPECIALIST","$1,143.08","$214,899","$2,021.69","$347,730","$2,130.95","$321,774","$4,458","$722,224","$8,366.07","$1,380,401","$6,357.33","$1,093,461","$3,403.42","$541,144"
"CHILD WELFARE SPECIALIST SUPERVISOR","$2,624.48","$270,322","$4,387.42","$412,418","$3,458.75","$318,205","$5,488","$537,845","$7,573.07","$946,633","$5,184.05","$668,742","$3,487.12","$407,993"
"CITY ASSESSOR","$2,965.54","$272,830","$5,228.91","$454,916","$4,599.72","$400,175","$3,897","$370,199","$3,317.94","$305,251","$5,011.06","$430,951","$7,102.16","$582,377"
"CITY ATTENDANT","$2,662.57","$173,067","$1,885.52","$130,101","$2,040.72","$177,542","$2,755","$236,969","$2,708.86","$232,962","$2,772.73","$235,682","$3,046.56","$225,445"
"CITY CLERK & CLERK OF COUNCIL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CITY COLLECTOR",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"CITY CUSTODIAL ASSISTANT","$5,087.27","$3,001,490","$5,481.90","$3,195,948","$1,218.04","$18,271","$6,485","$4,209,069","$6,196.62","$3,897,672","$6,072.26","$4,025,907","$5,426.07","$3,700,577"
"CITY DEBRIS REMOVER","$7,880.15","$47,281","$4,893.43","$39,147","$8,689.86","$52,139","$7,530","$45,177","$7,620.73","$22,862","$11,760.35","$35,281","$8,098.08","$24,294"
"CITY DEPUTY MEDICAL DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"CITY ELEVATOR OPERATOR","$742.01","$4,452","$130.20","$651","$163.15","$979","$156","$623","$0.00","$0","$0.00","$0","$0.00","$0"
"CITY LABORER",NA,NA,"$10,035.60","$30,107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY MEDICAL DIRECTOR","$0.00","$0",NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CITY MEDICAL EXAMINER","$24.77","$619","$214.48","$4,719","$1,413.87","$29,691","$842","$18,528","$1,330.60","$30,604","$7,342.72","$183,568","$6,265.00","$181,685"
"CITY MEDICAL SPECIALIST","$0.00","$0","$6,942.91","$69,429","$2,315.03","$30,095","$103","$1,642","$817.59","$12,264","$2,109.92","$31,649","$5,196.49","$72,751"
"CITY MORTUARY TECHNICIAN","$2,315.12","$69,454","$10,027.75","$200,555","$7,470.35","$141,937","$10,531","$200,090","$10,514.42","$210,288","$6,374.18","$133,858","$8,934.52","$294,839"
"CITY OF NEW YORK (ALL AGENCIES / TITLES)","$5,565.69","$1,309,739,616","$6,129.29","$1,472,665,385","$6,328.73","$1,562,328,486","$6,300","$1,600,063,426","$5,825.48","$1,488,486,875","$5,560.97","$1,423,619,348","$5,745.57","$1,468,722,295"
"CITY PARK WORKER","$1,975.32","$1,040,995","$2,080.14","$1,056,712","$2,612.29","$1,340,107","$2,399","$1,182,818","$2,639.59","$1,319,794","$2,847.43","$1,355,378","$2,524.37","$1,451,514"
"CITY PARKING EQUIPMENT SERVICE WORKER","$9,003.93","$792,346","$9,742.58","$808,634","$7,665.51","$712,893","$5,781","$514,552","$5,479.87","$460,309","$5,034.40","$407,786","$4,212.75","$370,722"
"CITY PEST CONTROL AIDE","$469.13","$7,506","$577.89","$8,668","$1,214.89","$17,009","$937","$15,927","$129.44","$2,589","$146.05","$2,775","$196.39","$3,339"
"CITY PLANNER","$1,386.46","$281,450","$1,473.86","$350,778","$1,705.55","$511,665","$1,854","$385,700","$1,468.52","$280,488","$1,619.50","$348,192","$1,139.62","$210,830"
"CITY PLANNING TECHNICIAN","$473.97","$15,167","$723.00","$30,366","$1,454.48","$52,361","$0","$0","$1,573.39","$11,014","$1,009.48","$5,047","$667.87","$4,007"
"CITY REGISTER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CITY RESEARCH SCIENTIST","$541.17","$209,431","$1,225.11","$523,123","$1,209.38","$625,250","$631","$408,794","$475.49","$346,154","$461.17","$346,339","$2,462.07","$2,070,602"
"CITY SEASONAL AIDE",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,"$0.00","$0","$0.00","$0"
"CITY SECURITY AIDE","$12,165.88","$24,332","$11,172.29","$22,345","$2,804.36","$47,674","$1,464","$61,503","$5,278.73","$232,264","$6,528.14","$274,182","$11,267.53","$304,223"
"CITY TAX AUDITOR","$30.48","$7,224","$33.51","$8,043","$229.86","$54,476","$753","$191,955","$500.16","$131,541","$697.09","$184,729","$393.09","$108,099"
"CIVIL ENGINEER","$5,726.09","$956,258","$6,762.61","$1,061,730","$5,964.52","$966,252","$5,545","$848,319","$3,892.72","$463,233","$4,090.35","$409,035","$2,668.65","$250,853"
"CIVIL ENGINEERING INTERN","$2,337.78","$161,307","$1,797.49","$104,254","$997.86","$104,776","$1,875","$101,240","$569.23","$22,200","$1,570.29","$109,920","$2,481.55","$163,782"
"CIVILIANIZATION MANAGER-PD","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"CLAIM SPECIALIST","$1,385.69","$133,026","$760.73","$80,638","$629.86","$77,472","$558","$91,441","$684.66","$117,077","$1,990.70","$260,781","$1,988.80","$222,746"
"CLERICAL AIDE","$452.85","$40,756","$609.60","$57,302","$953.52","$81,050","$1,251","$95,103","$1,063.51","$69,128","$75.79","$4,244","$189.83","$9,301"
"CLERICAL ASSOCIATE","$2,248.67","$382,274","$1,624.60","$5,950,909","$1,700.04","$6,099,737","$1,807","$6,183,689","$1,803.34","$5,520,013","$1,933.73","$5,810,844","$1,651.99","$5,136,049"
"CLERICAL ASSOCIATE MOST MAYORAL AG","$1,516.70","$5,422,217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLERK TO THE BOARD","$9,200.57","$809,650","$7,929.07","$705,687","$8,840.67","$786,820","$10,664","$874,458","$6,936.79","$575,753","$11,853.41","$960,126","$6,292.88","$446,794"
"CLIMBER & PRUNER","$15,246.98","$1,722,908","$12,822.77","$1,307,923","$10,513.43","$1,135,450","$12,332","$1,257,877","$12,657.49","$1,316,379","$11,242.69","$1,113,027","$8,937.23","$875,849"
"CLINICAL PROFESSOR",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"CLIP INSTRUCTOR",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COLLEGE ACCOUNTANT","$213.02","$2,982","$51.71","$621","$79.03","$1,027","$192","$2,309","$154.10","$1,849","$183.44","$1,834","$106.62","$1,173"
"COLLEGE ACCOUNTING ASSISTANT","$1,297.34","$32,434","$841.07","$19,345","$499.06","$11,977","$722","$17,327","$304.04","$7,601","$252.36","$6,057","$219.98","$4,400"
"COLLEGE AIDE",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"COLLEGE GRAPH DESIGNER","$690.10","$2,760","$357.12","$1,786","$358.24","$1,791","$591","$2,957","$0.00","$0","$0.00","$0","$0.00","$0"
"COLLEGE INTERIOR DESIGNER",NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLLEGE LAB TECHNICIAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COLLEGE PRINT SHOP ASSISTANT","$942.88","$12,257","$901.34","$10,816","$1,210.32","$13,314","$1,732","$19,048","$1,235.92","$13,595","$780.52","$8,586","$254.89","$2,549"
"COLLEGE PRINT SHOP ASSOCIATE","$2,312.19","$13,873","$1,890.88","$11,345","$171.48","$857","$113","$453","$100.47","$402","$22.98","$92","$55.35","$221"
"COLLEGE PRINT SHOP COORDINATOR","$789.19","$2,368","$0.00","$0","$2,233.12","$8,932","$4,266","$12,798","$2,950.64","$8,852","$2,941.16","$8,823","$2,524.01","$7,572"
"COLLEGE SECURITY DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COLLEGE SECURITY SPECIALIST","$15,329.89","$168,629","$15,323.30","$153,233","$16,497.61","$148,479","$22,151","$243,660","$13,521.55","$162,259","$13,106.16","$157,274","$10,980.05","$120,781"
"COMMISS OF THE OFF TO END DOMEST AND GEND BA VIOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"COMMISSARY MANAGER","$1,134.50","$4,538","$1,317.55","$6,588","$2,264.55","$15,852","$2,072","$10,362","$1,903.79","$11,423","$1,386.52","$5,546","$296.40","$889"
"COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF BUILDINGS",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF BUSINESS SERVICES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"COMMISSIONER OF CHILDREN'S SERVICES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF CITYWIDE ADMINISTRATIVE SERVICES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF CULTURAL AFFAIRS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF DEPARTMENT OF VETERAN'S SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"COMMISSIONER OF DEPT OF INFO TECHNOLOGY & TELECOMMUNICATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"COMMISSIONER OF EMERGENCY MANAGEMENT",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"COMMISSIONER OF ENVIRONMENTAL PROTECTION","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF FINANCE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF HOMELESS SERVICES","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMISSIONER OF HOUSING PRESERVATION & DEVELOPMENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF LABOR RELATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF PARKS & RECREATION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF SANITATION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER OF TRANSPORTATION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMISSIONER, UN & CONSULAR CORPS DIPLOMATIC RELATIONS",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMUNICATION ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMUNITY ASSISTANT","$1,368.54","$1,228,951","$1,578.39","$1,388,984","$1,717.29","$1,530,107","$1,787","$1,660,484","$2,043.49","$1,833,015","$2,063.71","$1,694,309","$1,941.23","$1,512,216"
"COMMUNITY ASSOCIATE","$1,096.40","$3,681,721","$1,126.28","$4,068,117","$1,103.62","$4,310,721","$1,193","$4,860,401","$1,126.85","$4,624,611","$1,192.39","$4,725,460","$1,033.62","$4,349,480"
"COMMUNITY COORDINATOR","$1,763.56","$2,551,877","$1,748.46","$2,972,377","$1,865.01","$4,216,794","$1,863","$5,368,836","$1,952.32","$5,999,484","$1,935.65","$6,778,659","$1,880.89","$7,243,294"
"COMMUNITY PLANNING BOARD COORDINATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMMUNITY SERVICE AIDE","$1,389.77","$169,552","$1,174.00","$138,532","$1,079.66","$111,205","$1,309","$125,654","$1,109.97","$69,928","$663.55","$41,140","$2,660.81","$183,596"
"COMMUNITY SUPERTINDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMPOSITOR","$26,141.41","$26,141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMPTROLLER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"COMPUTER AIDE","$2,403.09","$2,403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
